main_brand,color,sold_price,category,score,size,genda,condition_encoded
Versace Jeans Couture,Black,120.0,Top,5.0,xl,Men,1
Anti Social Social Club,Black,105.0,Top,5.0,xl,Men,1
Undercover,Black,120.0,Footwear,5.0,s,Men,1
Kanye West,Tan,50.0,Top,5.0,xl,Men,1
Supreme,White,125.0,Bottom,5.0,s,Men,1
Takahiromiyashita The Soloist.,Black,220.0,Bottom,5.0,s,Men,1
Travis Scott,Blue,43.0,Top,5.0,m,Men,0
Tommy Hilfiger,Blue,35.0,Bottom,5.0,s,Men,1
Champion,Black,50.0,Outerwear,5.0,l,Men,2
Hedi Slimane,Blue,195.0,Bottom,5.0,s,Men,1
Valentino,Camo,175.0,Footwear,5.0,m,Men,2
Seditionaries,multi_color,33.0,Top,5.0,l,Men,1
Hawaiian Shirt,White,40.0,Top,5.0,l,Men,0
Ysl Pour Homme,multi_color,50.0,Top,5.0,l,Men,1
Levi's,Blue,38.0,Bottom,5.0,l,Men,2
Reebok,Blue,45.0,Top,5.0,l,Men,1
Stussy,Grey,150.0,Outerwear,5.0,l,Men,1
Off-White,White,282.0,Footwear,5.0,m,Men,1
Military,Green,38.0,Bottom,5.0,xs,Men,1
Hanes,multi_color,70.0,Top,5.0,l,Men,1
Nike,Black,265.0,Footwear,5.0,l,Men,1
Calvin Klein,Black,40.0,Bottom,5.0,m,Men,1
Palace,Black,195.0,Bottom,5.0,s,Men,0
Ralph Lauren,Black,141.0,Outerwear,5.0,m,Men,2
Saint Laurent Paris,Black,315.0,Footwear,5.0,m,Men,1
Kapital,Olive,43.0,Bottom,5.0,l,Men,2
Disney,Black,100.0,Top,5.0,m,Men,2
Distressed Denim,Blue,41.0,Bottom,5.0,s,Men,2
Kappa,Red,377.0,Top,5.0,l,Men,2
Lacoste,Navy,64.0,Top,5.0,m,Men,1
Avant Garde,Black,50.0,Top,5.0,l,Men,1
Virgil Abloh,White,50.0,Top,5.0,s,Men,2
Russell Athletic,Black,85.0,Top,5.0,xxl,Men,1
Mickey Mouse,Green,36.0,Top,5.0,l,Men,2
Burberry,multi_color,59.0,Acceorie,5.0,ONE SIZE,Men,2
Acne Studios,Indigo,51.0,Bottom,5.0,m,Men,1
Balenciaga,Black,470.0,Top,5.0,s,Men,0
Band Tees,Black,70.0,Top,5.0,l,Men,2
Harley Davidson,Black,47.0,Top,5.0,xl,Men,1
Polo Ralph Lauren,Brown,65.0,Top,5.0,m,Men,2
The North Face,Grey,40.0,Acceorie,5.0,ONE SIZE,Men,1
Hype,Black,37.0,Top,5.0,s,Men,2
Puma,multi_color,45.0,Footwear,5.0,s,Men,0
Gucci,Black,2200.0,Acceorie,5.0,ONE SIZE,Men,0
Dior,Brown,193.0,Top,5.0,s,Women,2
Hysteric Glamour,Denim,190.0,Bottom,5.0,s,Men,2
Prada,Blue,87.0,Top,5.0,m,Men,2
Patagonia,Grey,60.0,Top,5.0,m,Men,1
Dolce & Gabbana,Grey,90.0,Top,5.0,s,Men,2
Levi's Vintage Clothing,Olive,95.0,Bottom,5.0,s,Men,1
Dickies,Grey,35.0,Bottom,5.0,l,Men,2
Bape,Black,200.0,Top,5.0,m,Men,1
MLB,Blue,45.0,Top,5.0,l,Men,2
Uniqlo,Black,186.0,Outerwear,5.0,s,Men,2
Vans,Beige,160.0,Footwear,5.0,l,Men,0
Rick Owens Drkshdw,multi_color,145.0,Footwear,5.0,m,Men,1
Adidas,multi_color,120.0,Outerwear,5.0,l,Men,2
Gildan,Red,44.0,Top,5.0,m,Men,1
Kapital Kountry,Navy,370.0,Top,5.0,l,Men,0
Luxury,Brown,75.0,Outerwear,5.0,s,Men,1
Lee,Grey,50.0,Top,5.0,xl,Men,1
NFL,Grey,39.0,Top,5.0,xl,Men,2
Tour Tee,Grey,60.0,Top,5.0,xl,Men,2
Guess,Grey,68.0,Top,5.0,m,Men,2
Gap,multi_color,155.0,Outerwear,5.0,l,Men,1
Converse,Beige,102.0,Footwear,5.0,s,Men,0
Versace,Pink,80.0,Top,5.0,l,Men,1
Yves Saint Laurent,Silver,188.0,Acceorie,5.0,ONE SIZE,Men,0
Maison Margiela,White,160.0,Footwear,5.0,xs,Men,2
Issey Miyake,multi_color,90.0,Footwear,5.0,s,Men,1
Fruit Of The Loom,Blue,45.0,Top,5.0,xl,Men,0
Louis Vuitton,multi_color,5000.0,Bottom,5.0,l,Men,0
Rick Owens,Cream,152.0,Footwear,5.0,l,Men,1
Number (N)ine,Navy,80.0,Acceorie,5.0,ONE SIZE,Men,2
NBA,Red,60.0,Top,5.0,xxl,Men,0
Fila,Black,35.0,Top,5.0,xl,Men,1
Versace Jeans Couture,Black,68.0,Bottom,5.0,s,Men,1
Anti Social Social Club,Black,108.0,Bottom,5.0,m,Men,0
Undercover,Cream,100.0,Footwear,5.0,m,Men,2
Kanye West,Orange,110.0,Top,5.0,xl,Men,1
Supreme,Black,160.0,Outerwear,5.0,l,Men,0
Takahiromiyashita The Soloist.,White,100.0,Footwear,5.0,m,Men,1
Travis Scott,Black,112.0,Top,5.0,l,Men,0
Tommy Hilfiger,Navy,53.0,Top,5.0,m,Men,1
Champion,Purple,100.0,Top,5.0,l,Men,2
Hedi Slimane,Blue,118.0,Bottom,5.0,s,Men,1
Valentino,Grey,49.0,Tailoring,5.0,xl,Men,1
Seditionaries,White,111.0,Top,5.0,m,Men,3
Hawaiian Shirt,multi_color,38.0,Top,5.0,l,Men,1
Ysl Pour Homme,White,45.0,Top,5.0,xl,Men,1
Levi's,Blue,46.0,Bottom,5.0,s,Men,2
Reebok,Black,257.0,Footwear,5.0,m,Men,0
Stussy,Green,199.0,Footwear,5.0,s,Men,0
Off-White,White,193.0,Footwear,5.0,m,Men,2
Military,Khaki,50.0,Luggage,5.0,ONE SIZE,Women,2
Hanes,multi_color,75.0,Top,5.0,xl,Men,2
Nike,Black,92.0,Top,5.0,m,Men,2
Calvin Klein,Blue,35.0,Bottom,5.0,l,Men,2
Palace,Black,190.0,Top,5.0,xl,Men,0
Ralph Lauren,multi_color,70.0,Acceorie,5.0,ONE SIZE,Men,1
Saint Laurent Paris,Blue,150.0,Bottom,5.0,s,Men,2
Kapital,Orange,312.0,Acceorie,5.0,ONE SIZE,Men,1
Disney,Black,78.0,Top,5.0,m,Men,1
Distressed Denim,Beige,46.0,Bottom,5.0,m,Men,2
